"title","content","articles","url"
"Bitcoin premium on Binance.US is symptom of illiquid market: Kaiko","Kaiko data showed that Bitcoin was trading at a 2.5% premium on Binance.US compared to other U.S.-based exchanges.","Bitcoin (BTC) premium trades on Binance.US is a symptom of an illiquid market and not evidence of market makers exiting the platform, according to blockchain analytical firm Kaiko.

In its May 9 report, the data aggregator explained why the flagship digital asset traded at a 2.5% premium on Binance.US compared to other U.S.-based exchanges.

Source: Kaiko

According to the firm, speculations that market makers might be exiting the platform were mere rumors as there are no changes in its market depth.

Since April, several crypto community members have highlighted the increasing premium BTC trade on the platform — with many inferring that market makers and insiders might be leaving because of possible legal action.

However, Kaiko rejected such assertions noting that the exchange’s struggle for a banking partner could play a role in the trades.

Kaiko said:

“The premium on Binance.US is more likely related to the exchange’s struggles to find a banking partner since the closure of Signature and Silvergate. With a surging demand for BTC generally, investors on Binance.US are likely looking at quicker withdrawal times for BTC compared to USD, and are rushing to trade into BTC at the same time, resulting in a premium on the exchange.”

Source: Kaiko

Compared to the global Binance exchange, whose BTC’s 1% market depth has alternated between several highs and lows, Binance.US’s depth has remained stable. Kaiko data noted that this would not be so if a major market maker had left the platform.

Following the U.S. banking crisis that claimed three major crypto-friendly banks in March, the crypto industry has been exposed to low liquidity risks. At the time, CryptoSlate Insight reported that BTC’s order book reached a 10-month low.

Another report noted that U.S.-based exchanges and market makers became less liquid as they seem most affected by Silvergate’s implosion.

POSTED IN: BITCOIN, BINANCE, U.S., EXCHANGES
AUTHOR
Oluwapelumi Adejumo   
Journalist at CryptoSlate

Oluwapelumi believes in the transformative power Bitcoin and the blockchain industry hold. He is interested in sharing knowledge and ideas. He covers various topics, from DeFi and hacks to mining and memecoins.

EDITOR
Josh O'Sullivan   
Editor/Reporter at CryptoSlate

Josh has been writing for a decade and is passionate about mainstream crypto adoption, bringing positive financial change to the masses through crypto and decentralized finance.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Binance Stories
Binance’s NFT marketplace to support Bitcoin Ordinals
Exchanges16 hours ago2 min read
Binance says Bitcoin ‘outflows’ are internal wallet movements
Exchanges2 days ago1 min read
Binance working to enable Bitcoin lightning network
Exchanges2 days ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/bitcoin-premium-on-binance-us-is-symptom-of-illiquid-market-kaiko/"
"Grayscale establishes funds trust, files for three new crypto funds","Those funds involve Bitcoin ETPs, Ethereum futures, and to a lesser extent, Zcash.","Grayscale Investments announced on May 9 that it has formed a new entity called Grayscale Funds Trust and filed for three new crypto investment funds.

Grayscale proposes three new ETFs

The Grayscale Funds Trust will act as a Delaware statutory trust structure that allows the firm to manage its older products while also pursuing exchange-traded funds (ETFs).

In addition to creating that new trust, Grayscale has filed registration statements for three new ETFs that are directly or indirectly related to cryptocurrency.

The first is the Grayscale Ethereum Futures ETF, which will derive value from exposure to Ethereum futures contracts. The second is the Grayscale Privacy ETF; this fund will track the Indxx Privacy Index, which itself includes Grayscale’s Zcash Trust.

The third fund is the Grayscale Global Bitcoin Composite ETF, which will make use of exchange-traded products and investment vehicles as well as securities from Bitcoin mining companies. The fund will not invest in digital assets directly, the filing says.

Grayscale emphasized that though it has filed regulatory applications, the above funds are not yet effective and cannot be bought or sold before they become effective.

Grayscale continues to pursue spot ETF

Grayscale is one of the most notable investment firms offering crypto investment vehicles for institutions. The company’s Grayscale Bitcoin Trust (GBTC) has a market cap of $10.84 billion, and the firm also offers numerous other cryptocurrency trusts.

However, GBTC redemptions were halted in 2014 following conflicts with the U.S. Securities and Exchange Commission (SEC). GBTC has recently traded at a discount.

Grayscale has also had difficulty obtaining permission from the SEC that would allow it to convert GBTC into a spot ETF. Grayscale has gone to court over the matter but has not succeeded in launching a crypto spot ETF despite its efforts.

No other firm has successfully launched a Bitcoin spot ETF to date.

POSTED IN: GRAYSCALE, EXCHANGES, INVESTMENTS, REGULATION
AUTHOR
Mike Dalton
Journalist at CryptoSlate

Mike trained in library and information sciences before moving into crypto writing in 2018. He lives on the West Coast of Canada.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Grayscale Stories
Spot vs. futures ETF: Grayscale’s hearing sheds light on the SEC’s decision-making process
Analysis2 months ago2 min read
CryptoSlate Wrapped Daily: Algorand MyAlgo thefts continue; Grayscale’s ETF case proceeds
Wrapped2 months ago3 min read
Judges question SEC’s logic during Grayscale’s first Bitcoin spot ETF appeal hearing
Legal2 months ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/grayscale-establishes-funds-trust-files-for-three-new-crypto-funds/"
"Biden calls for end to tax loopholes that benefit ‘wealthy crypto investors’","The President cast those opposed to his tax plan as ""MAGA Republicans.""","U.S. President Joe Biden called for an end to unspecified crypto tax rules on May 9.

On Twitter, Biden posted an infographic that read: “We think Congress should cut tax loopholes that help wealthy crypto investors.”

Such cuts would supposedly save $18 billion, according to the infographic. However, Biden did not specifically state which tax loopholes existed where reforms would produce those savings.

Early accounts of Biden’s tax plan, first advanced in March, suggested that the government could raise $24 billion through crypto tax rules focused on wash trading.

The Biden administration also proposed a 30% tax on crypto mining, which was advanced again on May 2. However, it is unclear how much funding this tax might generate, and this rule is seemingly aimed at mining firms rather than investors.

Biden also cast those opposed to his plans as supporters of the Republican party, writing: “We don’t have to guess what MAGA House Republicans value. They’re telling us.”

Biden’s infographic also said that Republicans want Congress to cut food safety inspection to save $15 billion, likely in reference to proposals advanced around April 26.

POSTED IN: U.S., POLITICS, REGULATION, TAXES
AUTHOR
Mike Dalton
Journalist at CryptoSlate

Mike trained in library and information sciences before moving into crypto writing in 2018. He lives on the West Coast of Canada.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Biden Stories
Robert Kennedy Jr. condemns Biden’s proposed 30% Bitcoin mining tax
People7 days ago2 min read
Biden’s bold move: White House wants crypto miners to pay 30% climate change tax
Mining1 week ago2 min read
US lawmaker says President Biden administration is weaponizing market chaos to kill crypto
People2 months ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/biden-calls-for-end-to-tax-loopholes-that-benefit-large-crypto-investors/"
"DCG is ‘in discussions’ with capital providers amidst Genesis mediation","The company expressed support for creditors who are in mediation with Genesis.","Digital Currency Group (DCG) provided an update on the status of its subsidiary, Genesis Capital, in a statement on May 9.

DCG said that it remains “engaged with the various stakeholders” who are involved in a mediation process concerning Genesis’ restructuring process. The company said it aims to reach a “productive resolution” and “fair outcome for all.”

DCG additionally said that it is “in discussions” with capital providers to obtain growth capital and to refinance outstanding obligations with Genesis.

Several of Genesis’ creditors walked away from a past agreement around April 25, objecting to details of DCG’s contributions to Genesis’ restructuring plan. Genesis agreed to enter mediation with several of its creditors during the last week of April. DCG said today that all parties officially entered the mediation process on May 1.

Genesis first filed for bankruptcy on Jan. 19 and owed at least $3.5 billion to its creditors at that time. The bankruptcy only extends to its lending division.

POSTED IN: U.S., BANKRUPTCY, EXCHANGES, FEATURED, LENDING
AUTHOR
Mike Dalton
Journalist at CryptoSlate

Mike trained in library and information sciences before moving into crypto writing in 2018. He lives on the West Coast of Canada.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Genesis Stories
Genesis to enter mediation with creditors to continue restructuring plan
Bankruptcy2 weeks ago1 min read
Multiple Genesis Capital creditors walk away from agreement – DCG responds
Bankruptcy2 weeks ago1 min read
Genesis creditors file to restrict bankrupt’s firm intercompany transactions
Bankruptcy3 months ago1 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/dcg-is-in-discussions-with-capital-providers-amidst-genesis-mediation/"
"Marathon, Zero Two to launch sustainable mining operation in Abu Dhabi","The operation will have a total energy capacity of 250 MW and a hashrate of 7 EH/s.","Marathon Digital Holdings and Zero Two announced a new Middle Eastern mining operation in a press release on May 9.

The first mining site as part of the operation will be in Abu Dhabi’s Masdar City. It will have an energy capacity of 200 megawatts (MW).

The second mining site will be located in Mina Zayed — Abu Dhabi’s port area — with an energy capacity of 50 megawatts (MW).

Both sites should be active by the end of 2023 with 7 EH/s of hashrate.

Sustainable energy

Marathon and Zero Two said that the operation would use Abu Dhabi’s excess energy and improve the sustainability of the city’s energy grid. The companies will also purchase clean energy certificates to offset any non-sustainable energy use.

The companies said they ran a pilot program to test the possibility of immersion mining in Abu Dhabi. Immersion mining — which involves submerging mining devices in a liquid coolant — is difficult in hot climates. However, two companies were able to create their own immersion solution and found this approach to be feasible.

The mining operation is expected to receive $406 million in capital investment. Marathon and Zero Two said that they have already ordered equipment and infrastructure.

A joint venture

To proceed with the project, Marathon and Zero Two have established a new entity called Abu Dhabi Global Markets JV Entity, which will operate the two crypto-mining sites. Zero Two will own 80% of the entity’s equity, while Marathon will own 20% of the entity’s equity.

Marathon is among the most notable U.S.-based crypto mining companies. It reported mining 702 BTC ($20 million) in April and said that it operated 122,900 devices in total.

Little is known about Zero Two, apart from the fact that it is a blockchain infrastructure development company in Abu Dhabi and is also registered as FS Innovation.

POSTED IN: U.A.E., MINING, PARTNERSHIPS
AUTHOR
Mike Dalton
Journalist at CryptoSlate

Mike trained in library and information sciences before moving into crypto writing in 2018. He lives on the West Coast of Canada.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest mining Stories
Vortex doubles mining capacity to combat inflation
Mining2 days ago1 min read
Robert Kennedy Jr. condemns Biden’s proposed 30% Bitcoin mining tax
People7 days ago2 min read
Kazakhstan’s Bitcoin mining industry has several challenges ahead
Mining7 days ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/marathon-zero-two-to-launch-sustainable-mining-operation-in-abu-dhabi/"
"Limewire has raised over $16M for its blockchain-focused revival","The project's LWMR token will be listed on top exchanges in the coming days.","Limewire said May 9 that it raised more than $16 million for its revived platform through sales of its cryptocurrency token (LMWR).

Limewire surpasses $15M goal

By raising $16.5 million, Limewire has surpassed its $15 million funding goal and is more than halfway to its $30 million fundraising limit.

The project’s website says that the sale will close on May 11 and that the token will be listed on four major exchanges beginning on May 16.

The project raised funds in fiat as well as cryptocurrencies, including Ethereum (ETH), Bitcoin (BTC) USD Coin (USDC), Tether (USD), and Binance Coin (BNB). It added support for XRP, Cardano (ADA), and Polygon (MATIC) payments around May 6.

Limewire previously announced on April 21 that it had raised $10 million through a private sale led by led by Kraken Ventures, Arrington Capital, and GSR.

NFT platform for creators

Limewire is best known as a file-sharing service active in the early 2000s. The platform became controversial for enabling copyright infringement of music and faced lawsuits from the recording industry. Limewire was eventually shut down circa 2010.

However, Limewire’s revived version will instead serve as a platform for music artists. Creators will be able to create content on blockchain-based content and monetize that content with cryptocurrency rewards, payments, and subscriptions.

Content on the platform will be stored and traded as non-fungible tokens (NFTs), and access to that content can be gated behind NFTs and other tokens.

POSTED IN: NFTS
AUTHOR
Mike Dalton
Journalist at CryptoSlate

Mike trained in library and information sciences before moving into crypto writing in 2018. He lives on the West Coast of Canada.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Limewire Stories
Search music, film on LimeWire like the early 2000s for LMWR tokens
Culture4 weeks ago2 min read
LimeWire to launch original NFT collection
NFTs11 months ago2 min read
Universal Music Group ties with LimeWire to make music NFTs mainstream
Partnerships12 months ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/limewire-has-raised-over-16m-for-its-blockchain-focused-revival/"
"Coinbase ex-manager gets 2-year sentence for insider trading","Coinbase's former product manager, Ishan Wahi got sentenced to two years in prison by the US authorities.","The U.S. authorities sentenced Coinbase‘s former Product Manager to two years in jail for insider trading, according to Reuters.

On May 9, 2023, the prosecutors decided Ishan Wahi’s sentence for participating in a scheme that involved “massive abuse” of Coinbase’s trust, the Reuters article noted.

Background of the case

In January, Ishan Wahi’s brother Nikhil Wahi got sentenced to 10 months in prison for the same reason – making trades based on confidential Coinbase information. At the time, Nikhil Wahi admitted that it was his brother Ishan Wahi who leaked the information to him and his friend, Sameer Ramani.

Based on the information Ishan Wahi leaked, Ramani and Nikhil Wahi used anonymous wallets and made over $1 million on trades between July 2021 and May 2022. Ishan Wahi was arrested together with his brother, Nikhil Wahi, in January. However, Ishan Wahi pleaded not guilty, while Ramani was outside the U.S. borders.

In February, Ishan Wahi filed a lawsuit and asked the U.S. authorities to dismiss the charges against him. Wahi claimed the Securities and Exchange Commission (SEC) lacked legal authority to classify tokens as securities. Wahi’s lawyers contended that the assets and asset holders involved in the case were not a part of any “common enterprise” since tokens are not considered an investment contract. Therefore, the insider trading charges were inapplicable.

The court decision

According to Reuters, Wahi said he “made a huge mistake” that will follow him for the rest of his life. Assistant U.S. Attorney Noah Solowiejczyk responded by stating that this was not a simple “one-off mistake” but a stream of tips scattered over ten months.

Wahi asked the court for a sentence that was no longer his brother’s. During his brother Nikhil Wahi’s hearing, the prosecutors recommended Nikhil Wahi be sentenced to prison for at least ten months. Nikhil Wahi’s defense lawyers managed to settle for the least by claiming that 26-year-old Wahi’s primary motivation was to repay his college debt, and he hadn’t been arrested before.

In the case of Ishan Wahi, the prosecutors recommended he spend more than three years in jail. Ishan Wahi noted that other crypto-related insider trading cases usually resulted in little or no prison time. However, the court sentenced him to two years in prison for the civil counterpart of using deception to seek financial gain.

POSTED IN: COINBASE, U.S., EXCHANGES, PEOPLE
AUTHOR
Zeynep Geylan   
Journalist at CryptoSlate

Zeynep is an academic who turned to crypto in 2018. Originating in social sciences, she is especially interested in the social impact of blockchain and cryptocurrencies and strongly believes in their transmuting power.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Coinbase Stories
Coinbase’s Paul Grewal says SEC proposed custody rule ‘unnecessarily singles out crypto’
Regulation17 hours ago2 min read
Coinbase CEO dismisses speculation that exchange plans to relocate from US
Exchanges2 days ago2 min read
Coinbase is considering UAE for its international hub
Exchanges2 days ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/coinbase-ex-manager-sentenced-to-jail-for-insider-trading/"
"PayPal customers increase crypto deposits to $943M","PayPal's latest Form 10-Q filing shows crypto deposits are up 56% - but how much relates to fresh deposits versus dollar value increases?","PayPal disclosed it holds $943 million in customers’ crypto assets, up 56% from the previous quarter.

The company enables users in some regions to buy, hold, sell, and pay for purchases using cryptocurrency. However, PayPal doesn’t have any cryptocurrencies on its balance sheet other than those belonging to its customers.

PayPal customers up their deposits

In its latest Q1 2023 Form 10-Q SEC filing, the online payments firm revealed that customers’ crypto deposits jumped from $604 million in the prior quarter to $943 million as of March 31.

The table below shows Bitcoin was the most popular in terms of current holdings and quarter-over-quarter percentage increase – spiking 71% to just short of half a billion dollars.

The pattern repeated, with the second-most held cryptocurrency, Ethereum seeing a 45% increase in deposits. While “Other,” consisting of Bitcoin Cash and Litecoin, saw gains of plus 30%.

Source: investor.pypl.com

PayPal stated that the risks of accounting for cryptocurrency, including “technological, legal, and regulatory risks,” meant crypto assets are recorded as both a liability and an asset on their books.

Hodl

Last year was a tumultuous one for cryptocurrency, characterized by CeFi bankruptcies, particularly the FTX scandal.

Nonetheless, by the first quarter of 2023, the total crypto market cap saw a significant increase of 49%, rising from $796 billion on December 31st, 2022, to $1,183 billion on March 31st, 2023 – suggesting the market has recovered to a degree.

Without a detailed breakdown of PayPal customers’ holdings, it is unclear precisely how much of the 56% quarter-over-quarter increase in deposits relates to increased crypto holdings or the increase in dollar value over that period.

However, using the crude measure of a 49% increase in total market cap between quarters, it is probable that the majority of the increase relates to an increase in the dollar value of holdings – rather than a jump in customers’ deposits.

POSTED IN: ADOPTION
AUTHOR
Samuel Wan  
Analyst at CryptoSlate

Samuel is a strong believer in individual autonomy and personal freedom. He is a relative newcomer to the world of cryptocurrency, having first bought Bitcoin in early 2017, but keen to make up for the lost time.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest PayPal Stories
PayPal subsidiary Venmo to introduce cryptocurrency transfers
Payments2 weeks ago1 min read
PayPal puts its stablecoin project on hold
Stablecoins3 months ago1 min read
Crypto community says new PayPal policy would drive crypto adoption
Adoption7 months ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/paypal-customers-increase-crypto-deposits-to-943m/"
"Binance’s NFT marketplace to support Bitcoin Ordinals","The total number of Bitcoin NFTs spiked above 5 million earlier today after a recent surge in activity, according to Dune analytics data.","Crypto exchange Binance said its marketplace would enable support for Bitcoin (BTC) Ordinals.

In a May 8 statement, Binance said it was enabling support for Bitcoin NFTs to elevate its marketplace to a multi-chain, open marketplace ecosystem, where users can explore and trade a variety of NFTs across multiple blockchains from their accounts.

“Binance NFT believes Bitcoin’s innovative technology and cultural significance represent an exciting new horizon, offering unique opportunities for NFT creation.”

The support would enable the exchange users to trade these NFTs directly from their accounts while enjoying its platform’s security and stability.

Binance said it would offer Bitcoin NFT creators royalties when their assets are bought and sold on its platform.

Bitcoin Ordinal Inscriptions cross 5 million

The number of Bitcoin NFTs spiked above 5 million after a recent surge in activity mainly consisting of text-based assets, data from Dune analytics show.

CryptoSlate Insight reported that these Inscriptions had generated a cumulative fee of 904 Bitcoin, benefiting BTC miners. As of press time, this has risen to 1,019 BTC ($27.64 million), according to Dune analytics data.

Source: Dune Analytics

The increase has followed the introduction of the Bitcoin Request for Comment (BRC-20) token standard, which allows users to transferable assets directly through the blockchain network.

In the last 24 hours, there were 241,880 unique inscriptions on Bitcoin, of which 193,349 were text-based. There were less than 500 inscriptions of images, applications, and tokens during the period.

According to the brc-20.io website, BRC-20 tokens have a total market cap of over $1 billion — with the top token being Ordi, valued at $471.47 million.

Meanwhile, the BRC-20 tokens have a cumulative volume of over $207 million during the last 24 hours.

The current BTC NFTs drive has pushed the average network fees to $30.91 — a level not seen since April 2021.

POSTED IN: BITCOIN, BINANCE, EXCHANGES, NFTS
AUTHOR
Oluwapelumi Adejumo   
Journalist at CryptoSlate

Oluwapelumi believes in the transformative power Bitcoin and the blockchain industry hold. He is interested in sharing knowledge and ideas. He covers various topics, from DeFi and hacks to mining and memecoins.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Binance Stories
Binance’s NFT marketplace to support Bitcoin Ordinals
Exchanges16 hours ago2 min read
Binance says Bitcoin ‘outflows’ are internal wallet movements
Exchanges2 days ago1 min read
Binance working to enable Bitcoin lightning network
Exchanges2 days ago2 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/binance-nft-marketplace-to-support-bitcoin-ordinals/"
"Microsoft, Goldman, others partner for privacy-enabled blockchain Canton Network","Canton Network would launch in July when the network participants would test its interoperability capabilities.","Digital Asset, alongside several traditional financial firms and technology giants, are partnering to launch Canton Network — a privacy-enabled blockchain network designed for institutional assets.

According to a May 9 press statement, the new network would be launched in July when the network participants  — which include the likes of Goldman Sachs, Cumberland, S&P Global, SBI Digital Asset Holdings, Umbrage, Microsoft, Paxos, Deloitte, CBOE, and others —  would test its interoperability capabilities across a range of applications and use cases.

With Canton Network’s design, traditional financial institutions can offer users new innovative products and experience a safer and reconciliation-free environment where assets, data, and cash can synchronize freely across applications.

“[Canton Network] creates a ‘network of networks’, allowing previously siloed systems in financial markets to interoperate with the appropriate governance, privacy, permissioning and controls required for highly regulated industries.”

A Deloitte Consulting principal, Joseph Cody, said the blockchain network is the first of its kind, adding that the Canton Network can help with the “tokenization of assets, facilitating rapid cross-organizational settlement, creating new marketplaces, and establishing an immutable record of shared data, and facilitating secure transactions.”

Canton is built on Digital Asset’s smart contract language, Daml.

How Canton Network differs from rival blockchains

Canton Network says it combines the smart contract capabilities of blockchain networks like Ethereum (ETH) and Solana (SOL) with privacy features similar to those on Bitcoin Lightning and ZCash (ZEC).

According to its white paper, this helps to differentiate it from other blockchain networks, which are limited in their operations. Some of these networks’ limitations include their layer1 strict, vertical limits on transaction capacity. Another challenge of these networks was that asset issuers had to forfeit control of that asset to a pool of pseudonymous validators.

“From a regulatory perspective, the data transparency and loss of control over assets make these networks unsuitable for use by financial institutions.”

Canton Network says it helps solve these limitations by enabling applications across multiple subnets to natively interoperate without requiring a layer 2 protocol or asset bridge.

“As of early 2023, financial institutions transact over $50 billion daily on limited-access subnets of the Canton Network.”

POSTED IN: TECHNOLOGY
AUTHOR
Oluwapelumi Adejumo   
Journalist at CryptoSlate

Oluwapelumi believes in the transformative power Bitcoin and the blockchain industry hold. He is interested in sharing knowledge and ideas. He covers various topics, from DeFi and hacks to mining and memecoins.

LATEST REPORT
Inside the macro chaos that’s shaping Bitcoin

CryptoSlate's latest market report dives deep into the key macro factors in the U.S. that could impact Bitcoin's price in the coming months.

Andjela Radmilac · 4 days ago
Latest Blockchain Stories
Microsoft, Goldman, others partner for privacy-enabled blockchain Canton Network
Technology16 hours ago2 min read
Blockchain Association objects to SEC’s proposed custody rule change
Regulation1 day ago2 min read
Op-ed: Is blockchain quickly becoming the solution for ESG?
Adoption3 days ago3 min read

Disclaimer: Our writers' opinions are solely their own and do not reflect the opinion of CryptoSlate. None of the information you read on CryptoSlate should be taken as investment advice, nor does CryptoSlate endorse any project that may be mentioned or linked to in this article. Buying and trading cryptocurrencies should be considered a high-risk activity. Please do your own due diligence before taking any action related to content within this article. Finally, CryptoSlate takes no responsibility should you lose money trading cryptocurrencies.","https://cryptoslate.com/microsoft-goldman-others-partner-for-privacy-enabled-blockchain-network/"
